Roof_01,-37.5,0,19.5,-0.5,-0.5000001,-0.5000001,0.5
Roof_02,-42,5.625,10.5,0,0,1,-1.629207E-07
Floor_01,-37.5,0,15,0,0,0,1
Floor_01,-37.5,0,-3,0,0,0,1
Room_Big_Part_03,-37.5,0,6,0,0,0,1
Floor_01,-37.5,0,10.5,0,-0.7071068,0,0.7071067
Floor_01,-42,5.624998,10.5,1.152023E-07,-0.7071068,0.7071068,-1.152023E-07
Roof_01,-42,0,-7.5,-0.5,0.5000001,0.5000001,0.5
Floor_01,-37.5,-4.499998,1.5,-0.7071068,0,0,0.7071068
Floor_01,-37.5,0,10.5,0,-0.7071068,0,0.7071067
Light_01,-32.97,5.625,6.06,-0.7071068,0,0,0.7071068
Floor_01,-37.5,-4.5,6,0,0,0,1
Floor_01,-37.5,1.704744E-06,15,-0.7071068,0,0,0.7071068
Floor_01,-37.5,0,6,0,-0.7071068,0,0.7071067
Roof_02,-42,5.625,1.5,0,0,1,-1.629207E-07
Floor_01,-42,0,10.5,0,1,0,-1.629207E-07
Floor_01,-37.5,0,1.5,8.940697E-08,0,0,1
Floor_01,-42,5.624998,1.5,1.152023E-07,-0.7071068,0.7071068,-1.152023E-07
Wall_Simple_01,-37.5,0,-7.5,0,1,0,-1.629207E-07
Wall_Simple_01,-37.5,0,-7.5,0.5000002,0.4999999,0.4999999,-0.5000001
Floor_01,-42,0,6,0,0.7071068,0,0.7071067
Floor_01,-42,0,1.5,0,0.7071068,0,0.7071067
Floor_01,-37.5,1.704744E-06,-7.5,-0.7071068,0,0,0.7071068
Floor_01,-37.5,0,1.5,0.7071068,0,0,0.7071067
Roof_02,-42,5.625,-3,0,0,1,-1.629207E-07
Spotlight,-42.03,4.2,-3,0.7071068,2.842171E-14,2.842171E-14,0.7071067
Floor_01,-37.5,1.704744E-06,-3,-0.7071068,0,0,0.7071068
Floor_01,-37.5,0,6,0,-0.7071068,0,0.7071067
Light_01,-42.03,5.7,-3,0,0,0,1
Spotlight,-46.473,4.2,6.06,0.7071068,2.842171E-14,2.842171E-14,0.7071067
Floor_01,-42,0,6,0,0.7071068,0,0.7071067
Wall_Simple_01,-42,-7.709606E-07,19.5,-0.5,0.5,0.5000001,0.4999999
Roof_02,-42,5.625,6,0,0,1,-1.629207E-07
Floor_01,-37.5,-4.499998,6,-0.7071068,0,0,0.7071068
Floor_01,-37.5,0,-7.5,0,0,0,1
Floor_01,-42,0,1.5,0,0.7071068,0,0.7071067
Light_01,-42.03,5.625,-3,-0.7071068,0,0,0.7071068
Light_01,-46.473,5.625,6.06,-0.7071068,0,0,0.7071068
Floor_01,-42,5.624998,6,1.152023E-07,-0.7071068,0.7071068,-1.152023E-07
Light_01,-46.473,5.7,6.06,0,0,0,1
Light_01,-42.03,5.7,15.015,0,0,0,1
Floor_01,-13.5,1.704744E-06,6,-0.7071068,0,0,0.7071068
Floor_01,-13.5,0,6,0,0,0,1
Fan_Wings_01,-1.111536E-06,5.36943,-9.014999,-0.7071058,0.001234195,0.001234195,0.7071058
red_square_drone_door (8),-37.67,2.2,-1.17,0,0.9316405,0,0.3633814
Fan_01,0,5.625,-9.014999,-0.7071068,0,0,0.7071068
Fan_01,0,5.625,-9.015,0,0,0,1
Collider_03,-12.792,0,-2.388,0,-0.9246013,0,-0.3809364
Collider_01,-9.015,0,-4.557,0,0.5923651,0,-0.8056696
Wall_Arc_90_01,-9,0,-4.5,0,0.7071068,0,0.7071067
Wall_Arc_90_01,-9,1.788138E-07,-4.5,-0.4999999,0.5000001,0.5000001,0.4999999
Collider_02,-13.44,0,0.02999926,0,-0.9913306,0,-0.1313917
Collider_01,-18,0,-13.5,0,0.6107751,0,-0.7918042
Wall_Arc_90_02,-18,1.788139E-07,-13.5,-0.5,0.5000001,0.5000001,0.5
Collider_02,-22.515,0,-8.939999,0,0.993534,0,0.1135348
Wall_Arc_90_02,-18,0,-13.5,0,0.7071068,0,0.7071067
Collider_03,-21.975,0,-11.1,0,0.9283417,0,0.3717281
Floor_01,4.5,1.704744E-06,0,-0.7071068,0,0,0.7071068
Floor_01,4.5,0,0,0,0,0,1
Floor_01,-4.5,1.704744E-06,-9,-0.7071068,0,0,0.7071068
Floor_01,-4.5,0,-9,0,0,0,1
Collider_03,-48.6,0,18.975,0,0.9192882,0,-0.3935852
Wall_Arc_90_02,-46.5,0,-7.5,0,0.7071067,0,0.7071068
Floor_01,-51,1.704744E-06,-3,0,0.7071068,0.7071068,0
Wall_Arc_90_02,-51,1.788139E-07,15,0,0.7071068,0.7071068,0
Wall_Simple_01,-51,-7.709606E-07,-3,0.7071068,-1.152023E-07,-1.152023E-07,-0.7071067
Collider_02,-51.015,0,-2.94,0,0.993534,0,0.113535
Floor_01,-51,1.704744E-06,6,0,0.7071068,0.7071068,0
Door_Arch_01,-51,0,10.5,0.5000001,0.5,0.5,-0.5000001
Roof_01,-51,0,15,0,0.7071068,0.7071068,0
Floor_01,-51,0,19.5,0,1,0,0
Floor_01,-51,0,15,0,1,0,0
Door_Arch_01,-51,0,10.5,0,0.7071067,0,-0.7071068
Roof_Angle_01,-46.5,1.788139E-07,19.5,0.5000001,0.5,0.5,-0.5000001
Floor_01,-51,0,6,0,1,0,0
Floor_01,-51,0,10.5,0,1,0,0
Roof_Angle_01,-51,0,-3,0,1,0,0
Floor_Small_01,-51,0,10.5,0,0.7071067,0,-0.7071068
